sentimen,comment
-1,.RT @IndonesiaBaikId: Hai SohIB! Kebijakan #PPKMMikro akan diperpanjang lho. Cakupannya pun akan diperluas. Mengapa?#IndonesiaBaik #YangMudaSukaData #DailyIssue #Infografis #PPKM #PSBB #COVID19 #KominfoNewsroom @BNPB_Indonesia https://t.co/110aezdisX
-1,.Begini Pesta Ultah Pedangdut Lara Silvi yang Digelar tanpa Pakai Masker dan Berkerumun#protokolkesehatan #melanggarprokes #wajibmasker #tanpamasker #kerumunan #ppkm #ppkmmikro #cafedefins #larasilvi #dangdut #psbb #viruscorona #viruscovid19 #covid19 #coronahttps://t.co/UqwLrJu8oN
"-1,.""Rembang. https://t.co/F73HKt1Ygv â€“ Pemerintah Kabupaten Rembang memberikan izin kepada pelaku wisata untuk beroperasi selama empat hari dalam satu minggu di masa pemberlakuan pembatasankegiatan masyarakat (PPKM) skala mikro. #KabupatenRembang #ppkmmikrohttps://t.co/9NvWMcXO3m https://t.co/YM2qsgyyzz"""
-1,.Restoran-Mall Bisa Buka hingga Pukul 22.00 Wita https://t.co/UdYIp6OBdu #PPKMMikro #berita #nusabali #pandemi #COVID19 #JamMalam
-1,.Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
-1,.Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH
-1,.Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha
"-1,.""Dia sering muncul di media dalam berbagai kegiatan kenegaraan #tanpamasker. Mengapa tak pakai masker. Pak? """"Pilihan pribadi"""". Tak ada sangsi. tak ada denda. Siapa sih bapak itu? Dia presiden! Hari ini ada liputan yang memberitakan bahwa ini kali pertama Trump mengenakan masker."""
-1,.Ribuan warga demonstrasi menolak kebijakan lockdown dan protokol kesehatan termasuk menentang pemakaian masker. #TanpaMasker
"-1,.""Langgar Aturan. Tasyakuran Kelahiran Anak Dibubarkan. #wartajateng #langgarppkm #langgarpsbb"""
-1,.Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun
"-1,.""Kerjanya ninjau terus. giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"""
"-1,.""Kerjanya ninjau terus. giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??"""
"-1,.""Kafe RM Langgar PSBB. Bambang Ismadi Sebut Ketiga Kalinya https://fajar.co.id/2021/02/26/kafe-rm-langgar-psbb-bambang-ismadi-sebut-ketiga-kalinya/â€¦ #BambangIsmadi #KafeRM #LanggarPSBB"""
"-1,.""Dua kafe di Dago. Kota Bandung disegel tim gugus tugas covid-19 karena melanggar dengan melebihi batas waktu operasional di saat pemberlakuan PSBB untuk memutus mata rantai penularan covid-19. Baca selengkapnya klik https://bit.ly/3cTwaqc #NewsOne #vivanews #LanggarPSBB"""
"-1,.""Langgar PSBB. 101 Perusahaan Ditutup Sementara Ahttp://arahkita.com/news/read/22027/langgar_psbb__101_perusahaan_ditutup_sementaraâ€¦ #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #Perusahaan #LanggarPSBB #Nasional #NewsUpdate #news #Berita #COVID19 #Corona"""
-1,.Ini Sanksi bagi Pelanggar PSBB DKI Jakarta Menurut Pergub 41/2020 https://arahkita.com/news/read/22453/ini_sanksi_bagi_pelanggar_psbb_dki_jakarta_menurut_pergub_41_2020_â€¦ #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #PelanggarPSBB #Sanksi #Pergub #GubernurDKI #AniesBaswedan #Nasional #NewsUpdate #news #Berita
-1,.Depok Siapkan Sanksi Pidana bagi Pelanggar PSBB https://arahkita.com/news/read/22277/depok_siapkan_sanksi_pidana_bagi_pelanggar_psbbâ€¦ #BeritaTerkini #Depok #JawaBarat #PemkotDepok #SanksiPidana #PelanggarPSBB #PSBB #PSBBdepok #COVID19 #CegahCOVID19 #Nasional #NewsUpdate #news #Berita
"-1,.""""""Obat nganggur adalah berkumpul dan mengobrol. setelah dari itu......nganggur lagi"""" #PelanggarPSBB #astagfiraullah #pemudabiasaaja"""
-1,.Bagi masyarakat melanggar PSBB di Jakarta akan dimasukan ke dalam peti jenazah. #PelanggarPSBB
"-1,.""susah emang kalo pas kecil kerjaannya ngomong """"peraturan tuh dibikin buat dilanggar...*sambil petantang-petenteng cengar-cengir merasa paling kece* """" #pelanggarpsbb #prihatin"""
-1,.Tempat hiburan karaoke dan bar milik Ahmad Dhani di kawasan Mangga Besar tepergok melakukan pelanggaran PSBB. #karaokemasterpiece
"-1,.""Warga Masih Cuek Tak Pakai Masker. Polisi Gencarkan Patroli di Pasar #IniKebumen #WargaCuek #TanpaMasker #COVID19"""
-1,.BACOT!!! Tolak PSBB!! Tolak PPKM!!. Tolak Lockdown!! Kagak ngaruh ya pantek!
-1,.PKL Hingga Pedagang Kecil di Malioboro Kompak Tolak PPKM Diperpanjang
"-1,.""Yang punya warung makan ngomong ke Pol PePe: """"Kalian enak dapat gaji. kami dapat apa? """" Tolak PPKM dan PSBB. orang yang nurut dari PSBB awal sudah lelah."""
"-1,.""Tanpa Kompensasi Dan Solusi. Pelaku Usaha Di Jateng Tolak Perpanjangan PPKM"""
-1,.PHRI Demak Tolak PerpanjanganÂ PPKM
-1,.Ganjar Pranowo Soroti Keinginan Bupati Karanganyar Tolak Perpanjangan PPKM Jilid II
"-1,.""Tolak Kebijakan Pusat. Kota Surabaya Minta Dikecualikan dari PPKM"""
"-1,.""Drpd diketatkan. baiknya dihentikan PPKM. Blm prnah ada PPKM/PSBB memiliki dampak trhadap kasus. Tp lindungi nakes. Tolak pasien yg abai 5M. RS hanya menerima mrk yg patuh 5M"""
"-1,.""Gara gara PPKM. weekendku suram.! Weekend hanya goleran saja. Dah bingung mau nonton apa lagi. Dah bosen di rumah.!"""
"-1,.""Gajian tetep penuh. ga kepotong gara-gara omset sepi mergo PPKM Mikro kontolamoh"""
"-1,.""gara gara ppkm. nyari comfort food jam segini emang susah. pada tutup semua"""
-1,.Akhirnya pegang hp setelah 2 hari ga pegang gara gara ppkm menyiksa
-1,.Aiihh gara gara ppkm aku buang penawaran2 baik untuk besok *padahal kan hrs nya bsk jd hari menyenangkan
-1,.gara gara ppkm atau apalah w belom keluar rumah yang bener2 pergi hangout samsek padahal kan aku sudah mencapai semua goalsku
-1,.Ini gara gara ppkm tutup jam 7 dibekasi jdi ngamuk? Hahaha
"-1,.""PPKM tidak efektif. Tidak EFEKTIF. Tau ga kita dirumahkan lagi gara-gara PPKM? Dan ternyata PPKM TIDAK EFEKTIF. Implementasi tidak sesuai dengan harapan. angka covid tetep naik. Ya Allah. dipikir nafkah orang nih mainan apa ya?"""
"-1,.""Besok kemana ? Niat pengen main udah cerah. cuma tujuannya masih gelap -_- Gara-gara PSBB. PPKM. terus ada PPKM mikro. nanti ubah lagi jadi PPKM mikro revisi. PPKM mikro fiks ya Allah"""
"-1,.""2 Pekan PPKM Kota Bandung. Kasus Covid-19 Masih Naik"""
"-1,.""tolonglah pejabat2 pembuat keputusan PPKM di baca ini komentar dari rekan2 disini. ga efektif sama sekali. mending sudahi saja biarkan normal"""
-1,.Gubernur Jawa Tengah Ganjar Pranowo menanggapi kabar yang menyebut ada denda tilang untuk masyarakat tanpa denda masker. #TanpaMasker
-1,.Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH
-1,.RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA
-1,.benar banget tuh.â€¦ pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan
-1,.Aiihh gara gara ppkm aku buang penawaran2 baik untuk besok *padahal kan hrs nya bsk jd hari menyenangkan
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.Proyek dlm penanganan covid yg pasti laris manis
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.Bukannya yg dibatasi untuk yg zona merah saja. Bukan semua pak
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
"0,.""Terus. kalo angkringan pinggir jalan.. maksimal sampai jam berapa bukanya"""
0,.Ntar kalo kasus nya Naik lagi turunin lagi tutup jam 5 sore.
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
"0,.""tapi untuk operasional dan teknis di lapangan apakah ada caranya. Kasi arahan pedagang kecil atau contoh ijinkan mereka buka tp tidak boleh makan di tempat atau wajib bawa pulang. mereka tetap buka orang kumpul2 juga tidak ada"""
0,.ya terserah saja mau diperpanjang sampai kapan lo bos
0,.anda pernah bilang kalau bali penerapan protokol yg terbaik dari semua provinsi.. apa gunanya protokol itu klo tidak ada orang yg datang ke bali. Percuma saja
0,.Apa pemerintah lupa dengan ucapan bapak jokowi selaku presiden.bahwa.jangan membuat banyak aturan.negara kita negara hukum.jadi jangan seenakanya sendiri membuat aturan 
0,.PPKM kok justru kasus positif terus meningkat dimana salahnya ?
0,.masyarakat meminta jangan mengeluarkan himbauan yang merugikan masyarakat kecil tanpa solusi.
"0,.""Sekedar usul saja pak jika media wartawan menanggapi kasus-kasus covid yg beredar di redam..munkin gk terjadi berita yg signifikan.apa Indonesia mau berlarut2 dalam wabah penyakit.jika penyakit nafsu di kurangi itu bisa jika nefsu di hilangkan gk bakalan bisa setidaknya ada respon dalam kegiatan yg sudah ada protokol nya.namun jika banyak berita yg beredar dg covid munkin TDK akan selesai.sebelumnya minta maaf.hanya sekedar himbuan saja"""
"0,.""Menurut saya semua benar. Pak petugas benar. karena menjalankan tugas. Pengusaha juga benar. karena dia butuh uang untuk gaji karyawan"""
0,.Kalau lagi diperpanjang maka bisa terjadi orang meninggal kena covid makin dikit tapi orang meninggal karena kelaparan lebih banyak
0,.Ya sama seperti dikampung saya dan di lingkungan hidup saya
"0,.""Heran ya bang. masih ada aja orang yg kaga percaya corona"""
0,.Berarti semua pasien yg ada di ruangan tersebut terpapar covid dong bu
"0,.""Aku bukan gak menghargai maksud baik dari langkah yg di upayakn oleh pemerintah.akan tetapi tidakkah bisa sedikit mengevaluasi.sudah satu tahun menerapkan ini toh tidak ada hasil yg memadai justru cenderung meningkat.itu artinya upaya itu tidak tepat dan pas"""
0,.Sekalipun inter dibuka belum tentu juga tamu datang ke bali karena negaranya juga melarang mereka berwisata
0,.Kalo di satu rumah ada yg kena pasti rumah yg lain juga ada..masa orang itu cuma berinteraksi dg keluarganya saja
0,.Bener. Yang terinfeksi oleh Covid itu paru-paru. Kenapa seluruh badan harus diisolasi
0,.Ya udah telat pun sekarang pake lockdown... waktu awal itu lockdown y masih oke... sekarang aktivitas normal baru aja
0,.Anda itu belajar sama siapa? Kota Perth Australia ada kasus covid 1 orang langsung lockdown kok satu kota
0,.Tes per harinya memang disetting menurun ya min? Atau kenapa cenderung menurun
0,.Kenapa cuma jawa bali yg diperketat sementara propinsi lain mah bebas wae
"0,.""Dari pada ribet ngumumin perpanjang mulu. langsung aja PPKM sampai 0 kasus"""
0,.Bpk.gubernur.... apakah tidak ada patroli gugus tugas covid 19 dki yg bisa tertibkan pedagang dan kerumunan orang ditrotoar depan RSCM dan kampus pasca sarjana uki.....tiap hari jadi tempat kerumunan
"0,.""assalamuâ€™alaikum pak ini pak banyak trotoar yang sudah di renovasi dan luas buat pejalan kaki dan pesepeda. tetapi malah di gunakan oleh pemotor dan ojol. jadi trotoar pada rusak"""
"0,.""Apapun keputusan pemerintah entah dilockdown sebulan atau 2 bulan rakyat gk khawatir kalau tagihan listrik.air. cicilan sepeda motor. belanja harian ditanggung pemerintah"""
"0,.""terserah udah gk punya uang buat ke mall juga... muak"""
0,.Diperpanjang boleh tapi Kasikan masyarakat yg kurang mampu bantuan pangan
0,.BST FEBRUARI MANA NIH...MASA PSBB TERUS TAPI BST GA TURUN TURUN 
"0,.""Di stop anggaran covidnya . tim medis & media di bungkam pasti covid ilang dengan sendiri nya percaya deh"""
0,.hmm...  kira2 apa sekarang bisa seperti ini lagi komunikasi juga solusi langsung dan dekat dengan warga
0,.Kalau Rakyat Malam Kelaparan mau cari makan Kemana lagi?
"0,.""mending satu kota yang kena corona karena lokdown dari pada menyebar ke kota lain. jadi bisa di tangani dengan cepat. kalo udah nyebar ke kota lain gimana mau idenfikasinya"""
0,.Maaf nih kalo mau ninjau jangan yg sudah rapih aja dong
0,.PPKM SKALA MIKRO POLRES PASURUAN KOTA
0,.Pengecekan Posko PPKM mikro dan Kampung Tangguh
"0,.""Forkopimda Jatim meninjau pelaksanaan TMMD dan PPKM Mikro di Desa Ngrancang Kec. Tambakrejo. Kab. Bojonegoro."""
0,.Operasi Yustisi Protokol Kesehatan dan pengawasan PPKM Mikro
"0,.""Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Berbasis Mikro kembali diperpanjang yakni mulai tgl 9-22 Maret 2021. Mari dukung PPKM Mikro guna mencegah penyebaran Covid-19 dan menerapkan 3M (Mencuci tangan. Memakai Masker dan Menjaga jarak)"""
0,.Polres Magetan Kegiatan Polsek Sukomoro Bersama Jajaran Forkopimca Kecamatan Sukomoro Laksanakan Pengecekan Posko PPKM Mikro Desa Bogem.
0,.Operasi Yustisi Prokes dan Pengawasan PPKM Mikro
0,.Polsek Selorejo Polres Blitar laksanakan pengawalan dan pengamanan pemakaman jenazah pasien Covid-19
0,.PPKM mikro diperluas hingga luar kota 
"0,.""6 Daerah di Sumut Terapkan PPKM Mikro. Termasuk Pematangsiantar dan Simalungun"""
0,.Kabupaten Bogor Perpanjang PPKM Mikro Hingga 22 Maret 2021
0,.Pemerintah memutuskan untuk kembali memperpanjang pelaksanaan PPKM Mikro dari 9-22 Maret 2021 di sejumlah provinsi.
0,.Pemerintah Provinsi DKI Jakarta memperpanjang masa pemberlakuan pembatasan kegiatan masyarakat (PPKM) mikro hingga 22 Maret 2021. 
0,.PPKM Mikro Surabaya Diperpanjang
0,.Pemerintah memutuskan untuk memperpanjang kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Mikro.
"0,.""PPKM Mikro Turunkan Kasus COVID-19. Satgas: Kalau Ragu Silakan Amati Sampai Akhir"""
"0,.""Diklaim Turunkan Kasus Aktif. PPKM Mikro Diperpanjang dan Diperluas"""
0,.Ridwan Kamil menerbitkan surat edaran terkait perpanjangan PPKM hingga 22 Maret.
"0,.""Perpanjangan PPKM Mikro Targetkan Kasus Aktif Terus Menurun: Jumlah kasus aktif dalam angka. menunjukkan seberapa besar masalah yang ada."""
"0,.""Sejumlah destinasi wisata di Jakarta. seperti Ragunan dan museum mulai dibuka pada perpanjangan PPKM skala mikro. Namun jumlah pengunjung dibatas 50%."""
0,.PPKM mikro jilid dua akan berakhir 8 Maret 2021.
"0,.""Menurut Khofifah. PPKM atau PPKM Mikro memang menunjukkan beberapa hasil yang signifikan. namun masih diperlukan upaya yang lebih besar lagi untuk dapat menurunkan penyebaran Covid-19 di Jatim melalui perpanjangan PPKM Mikro"""
0,.Pemkab Ponorogo akan melakukan penguatan Satgas Penanggulangan Covid-19 tingkat RT. Hal ini menyusul perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Mikro mulai 8 Maret kemarin hingga 22 Maret 2021 mendatang.
"0,.""Menurut Khofifah. perpanjangan PPKM Mikro tersebut berdasarkan Instruksi Menteri Dalam Negeri."""
0,.Perpanjangan pemberlakuan pembatasan kegiatan masyarakat atau PPKM di Jawa Timur dilakukan dengan harapan dapat menurunkan mobilitas warga agar penularan Covid-19 bisa terkendali.
"0,.""Kata Gubernur Jatim. masih diperlukan upaya yang lebih besar lagi untuk dapat menurunkan penyebaran Covid-19 di Jawa Timur melalui perpanjangan PPKM Mikro"""
"0,.""Menurut Khofifah. baik PPKM maupun PPKM Mikro memang sudah menunjukkan beberapa hasil yang signifikan. namun msh diperlukan upaya yang lbih besar lagi utk dpt menurunkan penyebaran Covid - 19 di Jawa Timur melalui perpanjangan PPKM Mikro"""
"0,.""Mau komen tentang ppkm. tapi takut di dm"""
0,.Pendisiplinan Oleh Polres Tulungagung Kota dan Tim Gugus Tugas Covid-19 Melaksanakan Sosialisasi Kepada Masyarakat Tentang PPKM Guna Menekan Penyebaran Covid-19 di Kab. Tulungagung
"0,.""Dalam Rangka Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) . Satlantas polres Ngawi Melaksanakan giat Sosialisasi dan pembagian Masker tentang Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM)"""
0,.PPKM Mandiri Efektif tekan Penyebaran Covid-19
0,.PPKM Mikro solusi tekan Covid-19 selain vaksin
0,.PPKM Mikro Selalu Disiplin 5M
"0,.""kadang pengin komentar mengenai psbb atau ppkm tp. kayanya lebih penting vaccine dehâ€¦. atau jangan2... ah sudahlah..."""
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.Selalu disiplin Prokes #PPKMMikro https://t.co/uaDK8CAZIZ
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
0,.RT @humas_jogja: Pengumuman perpanjangan Pemberlakukan Pembatasan Kegiatan Masyarakat Berbasis Mikro.  #PPKMMikro #JogjaIstimewa #COVID-19 #JogjaElingLanWaspada https://t.co/ROoMoqoBGC
